just checked my user timeline on my	user-timeline
whoops jenna and left school to get breakfast. freaking tired as hell. slept like 4 hours last night. i got a new blackberry mothuhss	whoops-jenna left-school last-night new-mothuhss blackberry-mothuhss
will have her blackberry soooooon!  *crossedfingers*	blackberry-soooooon
i get my blackberry in a few weeks!!!  cant wait.	few-weeks
i accidentally washed my boyfriends blackberry in his jeans pocket. 2 days later its fine! go blackberry!!	jeans-pocket
happy cause i finally got my blackberry back..... y voy para noche de galeria!	y-galeria voy-galeria para-galeria noche-galeria galeria-de
35 days 'til i own a blackberry storm...	blackberry-storm
just got home with my blackberry storm and am loving it	blackberry-storm
@sammyyyk im good! i just got a data plan on my	good-i data-plan
hello i'm tricina &amp; i don't bite  cinabun@att.blackberry.net	hello-i
@shizzaam  that's my favorite thing in the world lol besides my	favorite-thing world-lol
is on blackberryos looking through the forums  look for me on there kristopherf	forums-look
teaching my boss how to use a blackberry. havin' fun doin' it...	fun-doin
back up and runnin with my new blackberry	new-blackberry
finally found my pink blackberry bold and it only costs £4000  http://mypict.me/2skk	only-costs http://mypict.me/2skk-4000
@lizannv  i know!  everyone is shocked that it took me this long to get a blackberry!	@lizannv-i
is appreciating the different apps on blackberry including fb app. makes graduating ceramonies seem much shorter. is that wrong???	different-apps
i love my blackberry 8900	blackberry-8900
@lilyroseallen the google phone looks pretty fucking awesome as compared to the blackberry	google-looks phone-looks
@misslasheenaj because u have a blackberry. haha	blackberry-haha
fasting from blackberry today...well...to be honest i left it in my car. we'll see how nutty i get	blackberry-today.well.to nutty-i
blackberry 5.0 successfully cutover to new virtual server - a few small hiccups being handled individually - time to celebrate with lunch	new-server virtual-server few-hiccups small-hiccups
@damonmartin ive used it and works fine.. ( just for the addresses etc ) then delete and use #blackberry #media #sync	@damonmartin-ive addresses-etc #blackberry-#sync #media-#sync
@athene_athene yay  haha but how ever will you go on with out your blackberry for the rest of the day?! :o	yay-haha
i want a pink blackberry curveee	pink-curveee blackberry-curveee
looking forward to our rocky point mission trip.  no blackberry coverage from friday until sunday	mission-coverage rocky-mission point-mission blackberry-coverage
will be in ny from friday to sunday!  so excited.    catch ya'll sunday night...unless the blackberry calls to me too much...	excited-sunday blackberry-calls
@cindypon i have a pink blackberry and i love it! have internet everywhere i go! keeps my busy schedule organized! and it's just cool.	pink-blackberry i-go busy-schedule
new blackberry baby woop! shopping today was fun fun fun!	new-woop blackberry-woop baby-woop fun-fun fun-fun
@mccainblogette blackberry is way more confusing!! with iphone you just point at what u want.. very simple and very fun	way-confusing
more #followfriday  @esoterismo @theenergymiser @chastity_1111 @dh_photography @ecochic @blackberrypros @barkworthynews @alexasangels	@theenergymiser-more #followfriday-@theenergymiser @esoterismo-@theenergymiser @chastity_1111-@blackberrypros @dh_photography-@blackberrypros @ecochic-@blackberrypros @barkworthynews-@alexasangels
@djmoneymikegle i access mine on my blackberry web browser it used 2say mobile web but it changed 2 web?? sumtimes its like twilight zone	@djmoneymikegle-mine i-mine access-mine blackberry-browser web-browser 2say-web mobile-web like-zone twilight-zone
@sarahwynn1  awesome cheers hun  ahh i want a blackberry!	@sarahwynn1-cheers awesome-cheers ahh-i
@fra_shape ubertwitter for blackberry much better and easier to uae with more functions.  http://emkwan.wordpress.com	@fra_shape-ubertwitter uae-better functions-more
really loving this blackberry tea	blackberry-tea
jugando con mi blackberry y empezando twitters!!	jugando-mi con-mi empezando-twitters
evernote on the blackberry. oh yeah! what an emotional roller coaster new software can be	oh-yeah emotional-coaster roller-coaster new-software
@blackberry74 i feel it would apply to anyone	@blackberry74-i
almost a blackberry owner  lol i'm a dork	blackberry-i owner-i lol-i
ad: sugarsync now has support for blackberry as well. it's perfect for busy execs  all files on the go... http://is.gd/pa8c	sugarsync-http://is.gd/pa8c busy-execs
@khopkinson thanks for the #followfriday shout out!  you're simply awesome #blackberry	#followfriday-shout
@tzduzit  i speak the truth. you are the god of blackberry knowledge and wisdom	blackberry-knowledge
@bryandeleon pandora is great! i got the app on my blackberry	@bryandeleon-pandora great-i
my phone fixed ! shout out to all the blackberry users	fixed-phone blackberry-users
facebook 1.6 for blackberry® is available! visit sheggario.blogspot.com	blackberry-® visit-sheggario.blogspot.com
http://twitpic.com/6q2wh - playing with the new blackberry	new-blackberry
@tferthomas you are very welcome re:- #blackberry #sharingthelove	#blackberry-#sharingthelove
@selvinortiz hmmm...im convinced now. my blackberry hates me!	@selvinortiz-hmmm.im
@xoalexa thanks for the blackberry news	@xoalexa-thanks blackberry-news
yay! i finally got twitterberry to work on my blackberry	yay-i
@1capplegate take some blackberry pics	blackberry-pics
@1capplegate you should look into the app twitterberry for your blackberry. i use it for mine	app-twitterberry blackberry-use i-use
batre blackberry saya tinggal 20% sehingga numpang charge di kantor duty manager di airport hahaha	blackberry-tinggal saya-tinggal tinggal-% 20-% sehingga-hahaha numpang-hahaha charge-hahaha di-hahaha kantor-hahaha duty-hahaha manager-hahaha di-hahaha airport-hahaha
@piercedbrat i use a palm centro. i wish the had an app for them like blackberry's	centro-i
@tferthomas i so need blackberry lessons. do you have any web sites that have cheat sheets?  thank you for #ff kindness.	web-sites #ff-kindness
thanx his blackberry for letting him stay intouch wiv all the world  luv ya bb xd lol	intouch-wiv xd-lol
@urban_empress hmm... thanks i know but i can only do so much on a blackberry love	@urban_empress-hmm blackberry-love
i want a blackberry. if you're selling one on the cheap hook me up!	cheap-hook
ad: sugarsync now has support for blackberry as well. it's perfect for busy execs  all files on the go... http://is.gd/qe0j	sugarsync-http://is.gd/qe0j busy-execs
there's a blackberry man who responded to my tweet !	blackberry-man
@taylor2nd blackberry bolds and javelins now in stock!!! unlocking all bb handsets!!!...(free ad)	@taylor2nd-bolds blackberry-bolds unlocking-handsets bb-handsets free-ad
@tomkaulitzluv3r if you text fast now i cant even imagine how fast your going to text with a blackberry! lol! but im happy for you!	i-cant
playin with my new blackberry curve	new-curve blackberry-curve
@princess_hel oooh yeah its a new version of blackberry! my dad created it only 4 you	@princess_hel-yeah oooh-yeah new-version
upgrade to facebook® for blackberry® smartphones v1.6	®-smartphones v1-smartphones
@sheriffab yes!!! get a blackberry sheriffa!! but don't be like all the other blackberry abusers and not use it properly	@sheriffab-yes blackberry-sheriffa other-abusers blackberry-abusers
@dinovia i was wondering if you got a new blackberry flip. been wondering all day.	@dinovia-i new-blackberry
@brandnumusic84 had one for over a year...i actually love blackberry and encouraged many to buy them..but this phone mos def tops it!	phone-def mos-def
@lotay : #poll definitely blackberry	#poll-blackberry definitely-blackberry
@trouper09x blackberrys are taking over the world  conquer it	@trouper09x-blackberrys
trying to figure our the blackberry.... my ancient phone is gone!	the-blackberry ancient-phone
i got a blackberry storm!  new toy!!!  and i got infamous to keep myself really busy.	blackberry-storm new-toy
@thatdudedeon or  @thechurchgirl. can join the blackberry fam!  lol	blackberry-lol fam-lol
@jswaby lol i've been a palm fan since my palm pilot days  but my friend brought it up then decided to get a blackberry so now i want t..	@jswaby-i lol-i palm-fan palm-days pilot-days
my dad just bought me the blackberry storm	blackberry-storm
twitter bugs.. i have been gone all day today... wat are you guys up too??? im loving my blackberry alot !!!	today-wat blackberry-alot
@penguinjanet i'm trying to decide between a new iphone or a blackberry!	@penguinjanet-i new-iphone
i got @blackberry140 following me. thanks for the follow now i can get great tips about my blackberry.	great-tips
omg! i finally got twitter on my blackberry	omg-i
@exeye your lost blackberry just called me. i'm going to go get it.	blackberry-lost
@digitaljoy so the blackberry app world doesn't include any apps that are still in beta? lucky they never heard of google.	blackberry-world app-world
@shical i agree 210% shica.....blackberry or bust....i love my bb!!!	@shical-i
@tiergarten i figured that would happen!  i'm totally smitten with my blackberry curve	blackberry-curve
@tareshmonchel  just bought a blackberry storm today ..... any hints?	blackberry-storm
@amds007 nope on blackberry... out of business world &amp; living simple life	@amds007-nope business-world living-life simple-life
@houstondiva @davidpatterson3 fyi..i use tweetie on my mac...use ubertwitter for my blackberry...couldn't live w/o the berry	@houstondiva-fyi.i @davidpatterson3-fyi.i use-tweetie mac.use-ubertwitter t-w/o live-w/o
hunting for the perfect blackberry.	perfect-blackberry
updated socialscope application. thanks @socialscope  #blackberry	socialscope-application thanks-#blackberry @socialscope-#blackberry
socialscopr for blackberry updated from .28 to .33	blackberry-updated .28-.33
i got a blackberry!! there soo cool lol	cool-lol
@iblogalott blackberry in a heart beat.	@iblogalott-blackberry
wishing my night was a tad more exciting.. i had blueberry/blackberry/strawberry pancakes for dinner and a cup of tea	blueberry/blackberry/strawberry-pancakes
@bradgal thanks for the retweet #blackberry	retweet-#blackberry
@breeme more time to play with you blackberry then	time-more
sugarsync now has support for blackberry as well. it's perfect for busy execs  all files on the go... http://is.gd/rpjt ad:	http://is.gd/rpjt-ad
@ilkee wow. awesome! love blackberry	wow-awesome love-blackberry
finally got around to getting my blackberry. well happy.	happy-blackberry
upgrading my blackberry device.  hopefully it fixes more then it screws up.    4.2 to 4.5 with html email!  yee ha!	4.2-4.5 html-email
four days until graduation. i should probably sleep. i feel like getting a blackberry but javelin though cause it got super cute buttons	graduation-i super-buttons cute-buttons
beat brickbreaker on my blackberry today! no small achievment i might add	blackberry-today small-achievment
@cinnamoncloud it's a nokia e63 (looks like a blackberry!) lol	nokia-e63
@arnthorsnaer ubertwitter fyrir blackberry  http://myloc.me/2vww	ubertwitter-fyrir
gettin a blackberry today and some new shoes...more excited about a phone though	blackberry-today new-shoes.more
@rebroker_jenn i have her on my blackberry messenger so she cannot escape. hahahahhaha	@rebroker_jenn-i messenger-hahahahhaha
well.. twitting from the blackberry is not good! see you all! have a nice end-of-weekend!	nice-end-of-weekend
just got home from the beach! blackberry pearl on tuesday	blackberry-pearl
@pfrommerc you got it bro... and that's coming from an avid blackberry user	avid-user blackberry-user
@codyditto i have a	@codyditto-i
@craigzuber thanx for the follow!! my blackberry 'follow' option is gone...strange	follow-option
@mgigs not unless they come out with blackberry messenger ont he iphone	blackberry-ont messenger-ont iphone-he
@nicramirez wtf?!? why? just get a blackberry	@nicramirez-wtf
playing with various programs on my blackberry  @ bretmoor dr &amp; skyridge dr http://loopt.us/nbap5w.t	various-programs blackberry-dr @-dr bretmoor-dr skyridge-http://loopt.us/nbap5w.t dr-http://loopt.us/nbap5w.t
@pranjals meh. can you blame them. the amount of heartburn blackberry/iphone toting employees must cause to the winmo team	winmo-team
ohh alright then ;) :$ oh alright  well ask when ur in  oh i dunt no anythin bout blackberrys haha lol :$ i was lookin at buying one of	ohh-alright alright-$ oh-$ oh-dunt i-dunt anythin-lol bout-lol blackberrys-lol haha-lol
new number people - loving the world of blackberry...0780077813	new-people number-people blackberry-.0780077813
@jswo bought me back around.  although i accidentally typed in &quot;is drinking&quot; fb status friday night via blackberry! hope mom didn't c it	fb-status hope-mom
have i mentioned how much i love my blackberry? i doooo	i-doooo
wants a new fone especialli the blackberry curve  had a viewty for a month and broke it so probz need to b xtra nice  if i have any chance	new-especialli fone-especialli blackberry-curve
@ccccatalane you have very nice eyes - will have an even better look when i get off my blackberry	nice-eyes look-better
@therealjordin aww yay - battlefield just came on &quot;slacker radio&quot; on my blackberry	@therealjordin-yay aww-yay slacker-radio
#imgonnaneed a new phone: preferably the blackberry storm...thank you	new-phone blackberry-storm.thank
search engine marketing on an blackberry	engine-marketing
just got my new blackberry storm  looove it	new-looove blackberry-looove storm-looove
@jameshaskell tweet genius works for blackberry	tweet-works genius-works
i'm sick of my touch screen phone and can't get a new one from verizon til my plan is up...anyone selling a blackberry?	touch-phone screen-phone new-one verizon-til
downloaded oliver twist onto her blackberry.. thats the next book i am reading.	downloaded-oliver next-book
my new blackberry is updated and is great!!!!! back to my crack	new-blackberry
@scodal here's a strong drink for you... 1 part blackberry brandy	strong-drink part-brandy blackberry-brandy
just downloaded an even better twitter app for my blackberry  i'm gonna be tweetin like crazy noww	app-better twitter-app blackberry-i crazy-noww
@eyesaiyuh Übertwitter's the application i use on my blackberry  and star trek was the best movie i've seen this summer! i saw it 3 times.	@eyesaiyuh-Übertwitter application-use i-use star-trek movie-best
blackberry twitter app  woohooo	blackberry-woohooo twitter-woohooo app-woohooo
addit sugarsync now has support for blackberry as well. it's perfect for busy execs  all files on the go... http://is.gd/1317x	addit-sugarsync
testing blackberry tweet one two	testing-blackberry
oh wow this new blackberry messenger has some good things added and runs nice	new-messenger blackberry-messenger good-things
@febiandi and @komblackberry ini lo capture an @socialscope lite..awesomesss  http://mypict.me/3zyk	@febiandi-lo ini-lo @socialscope-http://mypict.me/3zyk lite.awesomesss-http://mypict.me/3zyk
yay i got my blackberry! i loove it	yay-i blackberry-loove i-loove
ad: sugarsync now has support for blackberry as well. it's perfect for busy execs  all files on the go... http://is.gd/13a7q	sugarsync-http://is.gd/13a7q busy-execs
@fruitlatte sure. ngo dou ho seung yiu blackberry  but anyway just don't get lg. my phone hangs at least once a day. cool huh	dou-ho cool-huh
@sharonisme nokia e75  thy wanted to get me blackberry i tak nak	nokia-thy @sharonisme-nokia e75-thy tak-nak
@markohatma @tinakei just got a blackberry? use socialscope or ubertwitter	@markohatma-@tinakei blackberry-socialscope use-socialscope
i love the red croco blackberry bold back door that @mrsrance just gave to me. goes well with my mac leopard red-theme!  thankyouuu!!	red-croco leopard-thankyouuu red-theme-thankyouuu
@yourmajestyy its people like you who make me glad i have an app on my blackberry! no need subscribe! i can read it all  keep em coming!	need-subscribe em-coming
@leunamo yes! the blackberry bold. my plan ends this month so i'm getting it sooner than i thought  how are you?	blackberry-bold
very impressed by my new (to me) blackberry bold	new-blackberry
just for you @loz62 @theengteacher @pinkberrygirl @monicks @chriscattaneo @blackberrychick  http://sml.vg/hf6krl	@loz62-@pinkberrygirl @theengteacher-@pinkberrygirl @chriscattaneo-http://sml.vg/hf6krl @blackberrychick-http://sml.vg/hf6krl
great media lunch today with research in motion - sigh i do love my  blackberry	great-media
rim aims to cross categories with blackberry tour (reuters) #geek #webtech #news http://tinyurl.com/mjpjtx	blackberry-tour #webtech-http://tinyurl.com/mjpjtx #news-http://tinyurl.com/mjpjtx
@cindytham @gracechin something better than a blackberry	@gracechin-something
@3italia blackberry storm 2... sicuro!!!!	3italia-blackberry
yay! blackberry facebook is now 1.6! new and improved	blackberry-facebook new-1.6
wow this is fun  my blackberry has so many new and cool apps	cool-apps
@bronxnyfinest sori bud i'm not like @therealgraceyb on her blackberry all-day	@bronxnyfinest-sori blackberry-all-day
finally got my blackberry back.	blackberry-back
is waiting for the tracking number for her new pink blackberry curve!! switched to verizon.. no worries	tracking-number new-pink
1(6 )+_ /_)4......lol thats in blackberry talk	+-_ _-_ /-_ lol-thats blackberry-talk
@willy_joe cool! you'd probably be able to get the blackberry tour. looks like a pretty cool phone	blackberry-tour cool-phone
@caitykauffman lee's mom is making me go with her tonight bc she doesnt want to sit by herself. p.s. my blackberry came in!	@caitykauffman-lee tonight-bc herself-p.s.
